Element,Crystal_Structure,Total_Bulk_Energy_eV,Bulk_Energy_per_Atom_eV,N_Atoms,Calculation_Date
W,bcc,-12.433745,-12.433745,1,2025-11-28T16:23:40.459414
Re,hcp,-23.604623,-11.802312,2,2025-11-28T16:23:40.459414
Ta,bcc,-11.363995,-11.363995,1,2025-11-28T16:23:40.459414
Os,hcp,-21.157972,-10.578986,2,2025-11-28T16:23:40.459414
Mo,bcc,-10.358597,-10.358597,1,2025-11-28T16:23:40.459414
Nb,bcc,-9.573111,-9.573111,1,2025-11-28T16:23:40.459414
Hf,hcp,-19.042868,-9.521434,2,2025-11-28T16:23:40.461417
Cr,bcc,-8.933752,-8.933752,1,2025-11-28T16:23:40.461417
Ru,hcp,-17.175091,-8.587546,2,2025-11-28T16:23:40.461417
V,bcc,-8.442442,-8.442442,1,2025-11-28T16:23:40.461417
Ir,fcc,-8.163996,-8.163996,1,2025-11-28T16:23:40.461417
Zr,hcp,-16.156681,-8.078341,2,2025-11-28T16:23:40.461417
Ti,hcp,-14.645322,-7.322661,2,2025-11-28T16:23:40.461417
Fe,bcc,-7.120463,-7.120463,1,2025-11-28T16:23:40.461417
Rh,fcc,-6.617286,-6.617286,1,2025-11-28T16:23:40.461417
Co,hcp,-12.472742,-6.236371,2,2025-11-28T16:23:40.461417
Y,hcp,-12.217216,-6.108608,2,2025-11-28T16:23:40.461417
Sc,hcp,-11.861687,-5.930844,2,2025-11-28T16:23:40.461417
Pt,fcc,-5.419010,-5.419010,1,2025-11-28T16:23:40.461417
Ni,fcc,-4.891029,-4.891029,1,2025-11-28T16:23:40.461417
Pd,fcc,-4.590694,-4.590694,1,2025-11-28T16:23:40.461417
Mn,materials_project_mp-754,-53.131630,-4.427636,12,2025-11-28T16:23:40.461417
Al,fcc,-3.477595,-3.477595,1,2025-11-28T16:23:40.461417
Cu,fcc,-3.245062,-3.245062,1,2025-11-28T16:23:40.461417
Au,fcc,-2.582969,-2.582969,1,2025-11-28T16:23:40.461417
In,materials_project_mp-124,-2.168602,-2.168602,1,2025-11-28T16:23:40.461417
Ag,fcc,-2.161018,-2.161018,1,2025-11-28T16:23:40.461417
Ga,materials_project_mp-139,-2.915101,-1.457550,2,2025-11-28T16:23:40.461417
Zn,hcp,-1.471454,-0.735727,2,2025-11-28T16:23:40.461417
Cd,hcp,-0.644902,-0.322451,2,2025-11-28T16:23:40.461417
Hg,hg_hcp_fallback,0.917294,0.458647,2,2025-11-28T16:23:40.461417
